1	البعيد عن العين بعيد عن القلب
2	الحب أعمى
3	من أحب ولده رحم الأيتام
4	القلوب عند بعضها
5	إن العيون التي في طرفها حور قتلننا ثم لم يحيين قتلانا يَصرَعْنَ ذا اللب حتى لا
6	حراك به وهن أضعف خلق الله إنسانا
7	أول الشجرة بذرة
8	ربك رب قلوب
9	فإن قليل الحب بالعقل صالح وإن كثير الحب بالجهل فاسد
10	لا تخف ما صنعت بك الأشواق واشرح هواك فكلنا عشاق
11	مرآة الحب عمياء
12	من القلب للقلب رسول
13	إذا أتاك أحد الخصمين وقد فُقِئَتْ عينه فلا تقض له حتى يأتيك خصمه فلعله قد فُقِئَتْ عيناه
14	إذا تولى عقداً أحكمه
15	الجزاء من جنس العمل
16	الحق دولة والباطل جولة
17	الرجوع إلى الحق خير من التمادي في الباطل
18	العاقل لا يبطل حقا ولا يحق باطلا
19	العدل أساس الْمُلْك
20	العين بالعين والسن بالسن
21	صاحب الحق عينه قوية
22	على الباغي تدور الدوائر
23	قُضِيَ الأَمرُ الَّذِي فِيهِ تَستَفِتيَانِ 
24	كما تدين تدان
25	لا يَفُلُّ الحديد إلا الحديد
26	من عَفَّ عن ظلم العباد تورعا جاءته ألطاف الإله تبرعا 
27	هذه بتلك والبادئ أظلم
28	هي النفس ما حَمَّلْتَها تتحمل وللدهر أيام تجور وتَعْدِلُ
29	من يغرق يتعلق بعود قش
30	أعزب دهر ولا أرمل شهر
31	اعطني عمرا وارميني بالبحر
32	ألا كل ما هو آت قريب وللأرض من كل حي نصيب
33	الحصاة من الجبل
34	الصباح رباح
35	العمر واحد والرب واحد
36	المأمول خير من المأكول
37	أول الشجرة بذرة
38	رب بعيد أنفع من قريب
39	فيا ليت الشباب يعود يوما فأخبره بما فعل المشيب
40	كلكم طلب صيد
41	ما أبعد ما فات وما أقرب ما يأتي
42	ما كل ما يتمنى المرء يدركه تجرى الرياح بما لا تشتهي السفن
43	كل حبل على غاربه
44	ما أشبه الليلة بالبارحة
45	أثقل من جبل
46	أحذر من غراب
47	أحرس من كلب
48	أدنى من حبل الوريد
49	أرخص من التمر في البصرة
50	أسرع من الريح
51	أقرب من اللسان للأسنان
52	البعد جفاء
53	البياض نصف الحسن
54	الماء أهون موجود وأعز مفقود
55	المتكبر كالواقف على الجبل يرى الناس صغاراً ويرونه صغيراً
56	أتبع من الظل
57	إنه لأشبه به من التمرة بالتمرة
58	سارت به الرُّكْبانُ
59	عاد الأمر إلى نصابه
60	فالوجه مثل الصبح مبيض والشعر مثل الليل مسود
61	فما تحمد العينان كل بشاشة ولا كل وجه عابس بذميم
62	لسان المرء من خدم الفؤاد
63	ما أشبه الليلة بالبارحة
64	من يمدح العروس إلا أهلها
65	هو يرقم على الماء
66	يخلق من الشبه أربعين
67	إذا لم ينفعك البازي فانتف ريشه
68	أظلم من أفعى
69	التسلُّطُ على المماليك دناءة
70	الظلم أسرع شيء إلى تعجيل نقمة وتبديل نعمة
71	الظلم مرتعه وخيم
72	إِنَّ الإِنسَانَ لَيَطغَى 
73	بيت الظالم خراب
74	جزاء مُجيرِ أُمِّ عامِرٍ
75	حرامي بلا بَيِّنةٍ شريف
76	ضربني وبكى وسبقني واشتكى
77	ظلم الأقارب أشد وقعا من السيف
78	غيري يأكل الدجاج وأنا أقع في السياج
79	كلما طار قص جناحه
80	كمن يربي الذئب
81	لا تجن يمينك على شمالك
82	لا تسقني ماء الحياة بذلة بل فاسقني بالعز كأس الحنظل
83	لمن تشكو إذا كان خصمك القاضي 
84	لو خُيِّرْتُ لاخترت
85	مُتْخَمٌ يقسو على جائع
86	من ظَلَمَ نفسه فهو لغيره أظلم
87	نوم الظالم عبادة
88	هذه بتلك والبادئ أظلم
89	وَظُلْمُ ذوي القربى أشد مرارة على النفس من وقع الحسام المهند
90	ما من ظالم إلا سيبلى بظالم
91	ومن نكد الدنيا على الحر أن يرى عدوا له ما من صداقته بد
92	يا ظالم لك يوم
93	من يخشى البلل لا يصطاد السمك
94	معظم النار من مستصغر الشرر
95	اترك الشر يتركك
96	احذر الأحمق واحذر وُدَّهُ إنما الأحمق كالثوب الْخَلَق 
97	احذروا من لا يرجى خيره ولا يؤمن شره
98	إذا جاء الحين حارت العين
99	إذا ذكرت الذئب فأعد له العصا
100	إذا رأيت نيوب الليث بارزة فلا تظنن أن الليث يبتسم
101	إذا كنتَ ذا رأيٍ فكن ذا مشورة فإن فساد الرأي أن تترددا
102	أعدّوا لكلب السوء كلبا يعادله
103	أقلل طعامك تجد منامك
104	الدهر يومان حلو ومر
105	اللي يخاف من العفريت يطلع له
106	إن الجواد قد يعثر
107	إن الشفيق بسوء ظن مولع
108	إن كنت ريحا فقد لاقيت إعصارا
109	إن وراء الأَكَمةِ ما وراءها
110	خُذْهُ بالموت حتى يرضى بالحُمَّى
111	راحت السكرة وجاءت الفكرة
112	ستبدي لك الأيام ما كنت جاهلا
113	قد يخرج من الصدفة غير الدُّرَّة
114	قَدِّرْ لِرِجْلِكَ قبل الخطو موضعها
115	كُلُّ نَفسٍ ذَائِقَةُ المَوتِ 
116	لا تقعن البحر إلا سابحا
117	لا حذر من قدر
118	لكل عالِمٍ هفوة ولكل جَوَادٍ كبوة
119	ما كل بارقة تجود بمائها
120	ما كل ما يلمع ذهباً
121	من أسرع كثر عثاره
122	من الخواطئ سهم صائب
123	من أَمِنَ الزمان خانه
124	من تَدَخَّلَ فيما لا يعنيه لقي ما لا يرضيه
125	من خشى الذئب أعد كلبا
126	من سلك الجدد أمن العثار
127	وكيف تنام الطير في وكناتها
128	ومن لا يصانع في أمور كثيرة يضرس بأنياب ويوطأ بمنسم
129	ومن يجعل المعروف في غير أهله يكن حمده ذما عليه ويندم
130	يا مستعجل عطلك الله
131	يخاف من خياله
132	إذا أردت أن تطاع فأمر بما يستطاع
133	إذا المرء لم يدنس من اللؤم عرضه فكل رداء يرتديه جميل
134	إذا أنت أكرمت الكريم ملكته وإن أنت أكرمت اللئيم تمردا
135	كفى المرء فضلا أن تُعَدَّ معايبه
136	إذا حضر الماء بطل التيمم
137	اذا لم تستحي فأفعل ما تشاء
138	أطهر الناس أعراقاً أحسنهم أخلاقاً
139	أعرف الناس بالله أرضاهم بما قسم الله له
140	اعف عما أغضبك لما أرضاك
141	أفضل الجود العطاء قبل الموعد
142	الأقربون أولى بالمعروف
143	الْبِشْرَ دال على الكرم
144	التكبر على المتكبر تواضع
145	التواضع من مصائد الشرف
146	الجودة من الموجودة
147	الحر تكفيه الإشارة
148	الحِلْمُ سيد الأخلاق
149	الدال على الخير كفاعله
150	الرفق بالجاني عتاب
151	السر أمانة
152	الشريف إذا تَقَوَّى تواضع والوضيع إذا تَقَوَّى تكبر
153	الصدق دليل التقوى
154	الصدق يحسن بالفتى والكذب يحسب من عيوبه
155	الضحك بلا سبب من قلة الأدب
156	العتاب خير من الحقد
157	العتاب صابون القلب
158	العفة جيش لايهزم
159	العفو عند المقدرة
160	العفو يصلح الكريم ويفسد اللئيم
161	الغنى في يد اللئيم قبيح قدر قبح الكريم في الإملاق
162	الفضل ما شهدت به الأعداء
163	القدوة الحسنة خير من النصيحة
164	القدوة الحسنة خير من الوصية
165	القناعة كنز لا يفنى
166	الكذب داء والصدق دواء
167	الكريم من أكرم الأحرار
168	الكريم يظلم من فوقه واللئيم يظلم من تحته
169	المؤمن كالنحلة تأكل طيبا وتضع طيبا
170	المرء بالأخلاق يسمو ذكره
171	النظافة من الإيمان
172	النعمة عروس مهرها الشكر
173	الوعد سحاب والإنجاز مطره
174	أملك الناس لنفسه من كتم سره
175	إن الله يحب معالي الأمور ويبغض سفاسفها
176	إن المقْدِرة تُذْهِبَ الحفيظة
177	المرء بأصغريه قلبه ولسانه
178	إنما سُمِّيتَ هانئاً لتهنأ
179	إنه نسيج وحده
180	أولى الناس بالعفو أقدرهم على العقوبة
181	إياك وما يعتذر منه
182	بالأرض ولدتك أمك
183	بِشْرُ الكريم في وجهه يلوح
184	بيت المحسن عمار
185	تاج المروءة التواضع
186	ترك الذنب أيسر من الاعتذار
187	تمام الصدق الإخبار بما تحمله العقول
188	تناس مساوئ الإخوان يدم لك وُدُّهُمْ
189	حُسْنُ الخلق خير قرين
190	حُسْنُ الخلق يذيب الخطايا كما تذيب الشمس الجليد
191	حُسْنُ الخلق يوجب المودة
192	حق من كتب بمسك أن يختم بعنبر
193	خلقت مُبَرَّأً من كل عيب كأنك قد خُلقْتَ كما تشاء
194	خير الناس للناس خيرهم لنفسه
195	خير الناس من فرح للناس بالخير
196	خير صِلاتِ الكريم أَعْوَدُها
197	خيركم خيركم لأهله 
198	ذكر الفتى عمره الثاني
199	ساقي القوم آخرهم شراباً
200	سر النجاح على الدوام هو أن تسير إلى الأمام
201	سيد القوم خادمهم
202	شكرت جميل صنعكم بدمعي ودمع العين مقياس الشعور
203	صلاح أمرك بالأخلاق مرجعه فَقَوِّم النفس بالأخلاق تستقم
204	عامل الناس برأي رفيق والق من تلقى بوجه طليق
205	عامل الناس بما تحب أن يعاملوك به
206	عصفور في اليد خير من عشرة على الشجرة
207	عندما تكون في روما تصرف كما يتصرف الرومان
208	فرط الأنس مكسبة لقرناء السوء
209	فلان دُرَّةُ التاج وواسطة العقد
210	فَمَن يَعمَل مِثقَالَ ذَرَّةٍ خَيرًا يَرَهُ 
211	في سعة الأخلاق كنوز الأرزاق
212	قُل كُلٌّ يَعمَلُ عَلَى شَاكِلَتِهِ 
213	قلب المؤمن دليله
214	قليل في الجيب خير من كثير في الغيب
215	قَولٌ مَّعرُوفٌ وَمَغفِرَةُ خَيرٌ مِّن صَدَقَةٍ يَتبَعُهَا أَذًى 
216	كل امرئ بما يحسنه
217	كما أن السؤال يُذِلُّ قوما كذاك يعز قوم بالعطاء
218	لا تشن وجه العفو بالتأنيب
219	لا تكن حلواً فتؤكل ولا مراً فترمى
220	لا تمازح الشريف فيحنق عليك ولا الدنيء فيتجرأ عليك
221	لا تنه عن خلق وتأتي مثله عار عليك إذا فعلت عظيم
222	لا خير فيمن لا يَأْلَفُ ولا يؤلف
223	لكل مقام مقال ولكل زمان رجال
224	للشدائد تُدَّخَرُ الرجال
225	لو كان الكذب ينجي فالصدق أنجى
226	ما كل من قال قولا وفى
227	ما هو إلا بستان
228	من حسن إسلام المرء تَرْكُهُ ما لا يعنيه 
229	معاتبة الإخوان خير من فقدهم
230	من تواضع لله رفعه
231	من حسن خُلُقُه استراح وأراح
232	من حسن خُلقُه وجب حقُّه
233	من شابه أباه فما ظلم
234	من شَبَّ على شيء شاب عليه
235	من عرف نفسه عرف ربه
236	من لم يقنع باليسير لم يكتف بالكثير
237	نعم الثوب العافية إذا انسدل على الكفاف
238	نعم العون على المروءة المال
239	نعم المؤَدِّبُ الدهر 
240	نعم حاجب الشهوات غض البصر
241	هذا الشبل من ذاك الأسد
242	هي الأخلاق تنبت كالنبات إذا سقيت بماء المكرمات
243	هيهات تكتم في الظلام مشاعل 
244	وأحسن منك لم تر قط عيني وأجمل منك لم تلد النساء
245	وإنما الأمم الأخلاق ما بقيت فإن هم ذهبت أخلاقهم ذهبوا
246	وإني وإن كنت الأخير زمانه لآت بما لم تستطعه الأوائل
247	وأي الناس ليس به عيوب
248	وتأتي على قدر الكرام المكارم
249	وتعظم في عين الصغير صغارها وتصغر في عين العظيم العظائم
250	وَلَو كُنتَ فَظًّا غَلِيظَ القَلبِ لاَنفَضُّواْ مِن حَولِكَ 
251	ومهما يكن عند امرئ من خَليقَةٍ وإن خالها تَخْفَى على الناس تُعْلَمِ
252	يد الحر ميزان
253	يَغْرِفُ من بحر
254	لكل جديد لذة
255	الثروة تأتي كالسلحفاة وتذهب كالغزال
256	الدراهم مراهم
257	إن غلا اللحم فالصبر رخيص
258	إذا تمنيت فاستكثر
259	المال يجلب المال
260	أغن من وليته عن السرقة
261	الأماني رءوس مال المفاليس
262	التدبير يثمر اليسير والتبذير يبدد الكثير
263	الرجال بالأموال
264	الشرط نور
265	الضامن غارم
266	الغالي ثمنه فيه
267	الغنى يورث البطر
268	القرش الأبيض ينفع في اليوم الأسود
269	القلة ذلة
270	المال ينفد حله وحرامه يوماً ويبقى بعد ذلك إثمه
271	إن الغنى والعز في القناعة والذل في الحرص وفي الوضاعة
272	خير مالك ما نفعك
273	خير الأشياء جديدها
274	رأيت الناس قد مالوا إلى من عنده مال
275	رِزْقُه في رجليه
276	صاحب القرش صياد
277	غنى النفس خير من غنى المال
278	قد يجمع المال غير آكله ويأكل المال غير من جمعه
279	قليل المال تصلحه فيبقى ولا يبقى الكثير مع الفساد
280	قليل دائم خير من كثير منقطع
281	كاد الفقر أن يكون كفراً
282	كل ما في البلاد من أموال ليس إلا نتيجة الأعمال
283	لا تبع نقداً بدين
284	لَن تَنَالُواْ البِرَّ حَتَّى تُنفِقُواْ مِمَّا تُحِبُّونَ 
285	ولا يعد ذو الغنى غنيا إن لم يكن في قومه مرضيا
286	وما المال والأهلون إلا وديعة ولا بد يوما أن تُرَدَّ الودائع
287	يمضي أخوك فلا تلقى له خلفا والمال بعد ذهاب المال يكتسب
288	ما يأتي بسرعة يذهب بسرعة
289	العنزة ترعى بمرعاها
290	السَّرْج المُذهَّب لا يجعلُ الحمار حصاناً
291	اتق الأحمق أن تصحبه إنما الأحمق كالثوب الخلق كلما رقعت منه جانبا صفقته الريح وهنا فانخرق
292	اتَّكَلْنا منه على خُصٍّ
293	أَخْفَقَ حالب التيس
294	إذا تخاصم اللصان ظهر المسروق
295	إذا كنت تدري فتلك مصيبة وإن كنت لا تدري فالمصيبة أعظم
296	أساء سمعاً فأساء إجابة
297	استندت إلى خصٍ مائلٍ
298	استنوق الجمل
299	أسمع جعجعة ولا أرى طحنا
300	أضعت شاة جعلت الذئب حارسها أما علمت بأن الذئب حراس
301	الجهل موت الأحياء
302	الحُمْقُ داء ولا دواء له
303	الضرب في الميت حرام
304	الغريب أعمى ولو كان بصيراً
305	ألقاب مملكة في غير موضعها كالهر يحكي انتفاخا صولة الأسد
306	الذي لا يعرف الصقر يشويه
307	الذي لا يعرفك يجهلك
308	أول القصيدة كفر
309	أول ما شطح نطح
310	باب النجار مخَلَّع
311	باع كرمه واشترى معصرة
312	بذات فمه يفتضح الكذوب
313	تطلب أثراً بعد عين
314	جنت على نفسها براقش
315	حافٍ يسخر بناعل
316	حسبه صيدا فكان قيدا
317	حظ في السحاب وعقل في التراب
318	حيلة العاجز دموعه
319	رب زارع لنفسه حاصد سواه
320	ربما أراد الأحمق نفعك فضرك
321	كالإبرة تكسي غيرها وهي عريانة
322	كالأطرش في الزَّفَّة
323	شر البلية ما يضحك
324	شفيت نفسي ولكن جدعت أنفي
325	طبيب يداوي الناس وهو عليل
326	طمع إبليس في الجنة
327	عنز استتيست
328	غاب حولين وجاء بِخُفَّيْ حنين
329	غضبه على طرف أنفه
330	فلان قد ركب الفيل وقال لا تبصروني
331	فيا موقدا نارا لغيرك ضوؤها
332	قيل للبغل من أبوك قال الفرس خالي
333	كالحادي وليس له بعير
334	كالمحتمي ببيت العنكبوت
335	كالمستجير من الرمضاء بالنار
336	كطالب الصيد في عرين الأسد
337	كلما كثر الذباب هان قتله
338	كناطح صخرة يوما ليكسرها فلم يضرها وأوهى قرنه الوعل
339	لا طال توت الشام ولا عنب اليمن
340	لا مصيبة أعظم من الجهل
341	لأمر ما جدع قصير أنفه
342	لسان الجاهل مفتاح حتفه
343	لكل داء دواء يستطب به إلا الحماقة أعيت من يداويها
344	ليس الحريص بزائد في رزقه
345	من تدخل فيما لا يعنيه لقي ما لا يرضيه
346	من جهل قدر نفسه كان بقدر غيره أجهل
347	نام ساعة الرحيل
348	نزل بواد غير ذي زرع
349	همه لا يتجاوز طرفي ردائه
350	وذى علة يأتي عليلا ليشتفي به وهو جار للمسيح بن مريم
351	ومن يجعل الضرغام بازا لصيده تَصَيَّدَهُ الضرغام فيما تصيدا
352	يبني قصراً ويهدم مصراً
353	يُدْخِلُ شعبان في رمضان
354	يدع العين ويطلب الأثر
355	يدهن من قارورة فارغة
356	يذبح الطاووس لجمال ريشه
357	يصوم يصوم ويفطر على بصلة
358	يَهُبُّ مع كل ريح ويسعى مع كل قوم
359	أحمد البلاغة الصمت حين لا يَحْسُنُ الكلام
360	إذا تكلمت بالكلمة ملكتك وإذا لم تتكلم بها ملكتها
361	السكوت علامة الرضا
362	أنت على رد ما لم تقل أقدر منك على رد ما قلت
363	إياك وأن يضرب لسانك عنقك
364	تكلم فقد كلم الله موسى
365	خير الخلال حفظ اللسان
366	خير الكلام ما قل ودل
367	رب سكوت أبلغ من كلام
368	رب قول أشد من صول
369	رب كلام يثير الحروب
370	رب كلمة قالت لصاحبها دعني
371	سرك أسيرك
372	سلامة الإنسان في حلاوة اللسان
373	صدرك أوسع لسرك
374	صدور الأحرار قبور الأسرار
375	عثرة القدم أسلم من عثرة اللسان
376	كأن على رءوسهم الطير
377	كل سر جاوز الاثنين شاع
378	لا تطلقن القول في غير بصر إن اللسان غير مأمون الضرر
379	لا تهرف بما لا تعرف
380	لسان الفتى عن عقله ترجمانه متى زل عقل المرء زل لسانه
381	لسانك حصانك إن صنته صانك وإن هنته هانك
382	الساكت عن الحق شيطان أخرس
383	مقتل الرجل بين فكيه
384	ملكت نفسي يوم ملكت منطقي
385	من كتم سره كان الخيار بيده
386	واحفظ لسانك لا تقول فتبتلى إن البلاء موكل بالمنطق
387	وبعض القول يذهب في الرياح
388	وَجُرْحُ اللسان كَجُرْحِ اليد
389	وفي الصمت ستر للغيّ وإنما صحيفة لب المرء أن يتكلما
390	ولفظة زائغة سبيلها قد سلبت نعمة من يقولها
391	من لم يكن لسره كتوما فلا يلم في كشفه نديما
392	أَتَأمُرُونَ النَّاسَ بِالبِرِّ وَتَنسَونَ أَنفُسَكُم 
393	إذا بلغ الرأي المشورة فاستعن بحزم ناصح أو نصيحة حازم
394	إذا صدأ الرأي أصقلته المشورة
395	الرأي قبل شجاعة الشجعان
396	المستشير معان والمستشار مؤتمن
397	المستنير على طريق النجاح
398	المشورة راحة لك وتعب لغيرك
399	المشورة عين الهداية
400	المشورة لقاح العقول
401	أول الحزم المشورة
402	بقدر الرأي تعتبر الرجال وبالآمال ينتظر المآل
403	وعند جهينة الخبر اليقين
404	خاطر من استغنى برأيه
405	شاور في أمرك الذين يخشون الله
406	شاور لبيباً ولا تعصه
